Date_of_observation,Species_name,Leaves_fresh,Leaves_mature,Leaves_old,Flowers_bud,Flowers_open,Flowers_male,Flowers_Female,Fruits_unripe,Fruits_ripe,Fruits_open,Year,Week
2016-07-31,Gulmohur- Delonix regia,1.0,2.0,,1.0,1.0,,,1.0,1.0,,2016,27
2015-09-06,Gulmohur- Delonix regia,1.0,2.0,,1.0,1.0,,,1.0,1.0,,2015,32
2014-02-02,Gulmohur- Delonix regia,0.0,1.0,,0.0,0.0,,,1.0,0.0,,2014,4
2015-09-13,Gulmohur- Delonix regia,1.0,2.0,,1.0,1.0,,,2.0,2.0,,2015,32
2015-08-23,Gulmohur- Delonix regia,1.0,2.0,,1.0,1.0,,,2.0,1.0,,2015,30
2015-08-16,Gulmohur- Delonix regia,2.0,2.0,,1.0,2.0,,,2.0,1.0,,2015,29
2015-05-10,Gulmohur- Delonix regia,1.0,2.0,,2.0,2.0,,,1.0,0.0,,2015,16
2015-08-21,Gulmohur- Delonix regia,1.0,1.0,,0.0,0.0,,,0.0,0.0,,2015,30
2015-08-21,Gulmohur- Delonix regia,1.0,1.0,,0.0,0.0,,,0.0,0.0,,2015,30
2015-08-30,Gulmohur- Delonix regia,1.0,2.0,,1.0,1.0,,,1.0,1.0,,2015,31
2016-07-04,Gulmohur- Delonix regia,1.0,2.0,,1.0,1.0,,,1.0,1.0,,2016,23
2016-06-29,Gulmohur- Delonix regia,1.0,2.0,,0.0,0.0,,,1.0,1.0,,2016,23
2015-11-01,Gulmohur- Delonix regia,1.0,2.0,,0.0,0.0,,,1.0,2.0,,2015,39
2014-12-01,Gulmohur- Delonix regia,1.0,2.0,,0.0,0.0,,,1.0,0.0,,2014,43
2015-07-05,Gulmohur- Delonix regia,1.0,2.0,,1.0,1.0,,,1.0,1.0,,2015,23
2014-06-22,Gulmohur- Delonix regia,1.0,2.0,,2.0,1.0,,,1.0,1.0,,2014,22
2015-03-29,Gulmohur- Delonix regia,1.0,0.0,,0.0,0.0,,,2.0,0.0,,2015,11
2014-06-30,Gulmohur- Delonix regia,1.0,2.0,,1.0,1.0,,,1.0,2.0,,2014,23
2014-09-03,Gulmohur- Delonix regia,0.0,1.0,,0.0,0.0,,,1.0,0.0,,2014,31
2014-06-15,Gulmohur- Delonix regia,1.0,2.0,,2.0,1.0,,,1.0,2.0,,2014,21
2014-04-20,Gulmohur- Delonix regia,2.0,0.0,,0.0,0.0,,,1.0,0.0,,2014,14
2015-03-22,Gulmohur- Delonix regia,1.0,1.0,,0.0,0.0,,,1.0,0.0,,2015,10
2014-03-30,Gulmohur- Delonix regia,1.0,1.0,,0.0,0.0,,,1.0,0.0,,2014,11
2016-06-18,Gulmohur- Delonix regia,1.0,2.0,,1.0,1.0,,,1.0,2.0,,2016,21
2014-06-04,Gulmohur- Delonix regia,1.0,1.0,,0.0,0.0,,,1.0,0.0,,2014,19
2014-04-13,Gulmohur- Delonix regia,2.0,1.0,,0.0,0.0,,,1.0,0.0,,2014,13
2014-05-25,Gulmohur- Delonix regia,2.0,2.0,,2.0,2.0,,,1.0,0.0,,2014,18
2014-08-06,Gulmohur- Delonix regia,1.0,2.0,,0.0,0.0,,,0.0,0.0,,2014,28
2014-03-16,Gulmohur- Delonix regia,0.0,1.0,,0.0,0.0,,,1.0,0.0,,2014,9
2014-01-06,Gulmohur- Delonix regia,1.0,2.0,,2.0,1.0,,,1.0,0.0,,2014,0
2015-06-28,Gulmohur- Delonix regia,1.0,2.0,,1.0,1.0,,,1.0,1.0,,2015,23
2014-11-05,Gulmohur- Delonix regia,2.0,1.0,,2.0,2.0,,,1.0,0.0,,2014,39
2014-04-27,Gulmohur- Delonix regia,2.0,1.0,,2.0,1.0,,,0.0,0.0,,2014,15
2014-04-05,Gulmohur- Delonix regia,2.0,1.0,,2.0,1.0,,,1.0,0.0,,2014,12
2014-03-23,Gulmohur- Delonix regia,0.0,1.0,,0.0,0.0,,,1.0,0.0,,2014,10
2014-05-18,Gulmohur- Delonix regia,1.0,2.0,,2.0,2.0,,,1.0,0.0,,2014,17
2015-04-06,Gulmohur- Delonix regia,2.0,0.0,,0.0,0.0,,,2.0,1.0,,2015,12
2016-08-10,Gulmohur- Delonix regia,1.0,2.0,,1.0,1.0,,,1.0,1.0,,2016,28
2014-05-01,Gulmohur- Delonix regia,1.0,2.0,,0.0,0.0,,,1.0,0.0,,2014,15
2014-02-16,Gulmohur- Delonix regia,0.0,1.0,,0.0,0.0,,,1.0,0.0,,2014,6
2015-04-12,Gulmohur- Delonix regia,2.0,0.0,,0.0,0.0,,,2.0,1.0,,2015,13
2015-10-04,Gulmohur- Delonix regia,1.0,2.0,,1.0,1.0,,,1.0,1.0,,2015,35
2015-07-12,Gulmohur- Delonix regia,1.0,2.0,,1.0,1.0,,,1.0,1.0,,2015,24
2014-06-07,Gulmohur- Delonix regia,1.0,2.0,,1.0,1.0,,,2.0,1.0,,2014,20
2014-02-03,Gulmohur- Delonix regia,0.0,1.0,,0.0,0.0,,,1.0,0.0,,2014,4
2014-02-23,Gulmohur- Delonix regia,0.0,1.0,,0.0,0.0,,,1.0,0.0,,2014,6
2014-01-19,Gulmohur- Delonix regia,1.0,1.0,,0.0,0.0,,,1.0,0.0,,2014,2
2014-07-20,Gulmohur- Delonix regia,1.0,2.0,,0.0,0.0,,,-1.0,2.0,,2014,25
2014-10-08,Gulmohur- Delonix regia,1.0,2.0,,1.0,1.0,,,2.0,1.0,,2014,36
2016-07-10,Gulmohur- Delonix regia,2.0,2.0,,1.0,1.0,,,1.0,1.0,,2016,24
2014-07-27,Gulmohur- Delonix regia,1.0,2.0,,1.0,1.0,,,1.0,2.0,,2014,26
2021-08-30,Indian Cork Tree- Millingtonia hortensis,2.0,2.0,2.0,2.0,2.0,-2.0,-2.0,-1.0,0.0,0.0,2021,31
2023-11-09,Indian Mulberry-Morinda pubescens,1.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2023,40
2020-03-01,Indian coral tree- Erythrina indica,0.0,0.0,0.0,2.0,2.0,-2.0,-2.0,0.0,0.0,0.0,2020,7
2020-03-01,Indian coral tree- Erythrina indica,0.0,0.0,0.0,2.0,2.0,-2.0,-2.0,-2.0,0.0,0.0,2020,7
2019-09-16,Indian elm- Holoptelea integrifolia,1.0,2.0,1.0,0.0,0.0,0.0,-2.0,0.0,0.0,-2.0,2019,33
2019-09-16,Indian laburnum- Cassia fistula,2.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,2.0,-2.0,2019,33
2023-11-29,Indian laburnum- Cassia fistula,0.0,2.0,2.0,0.0,0.0,-2.0,-2.0,-2.0,2.0,-2.0,2023,42
2023-05-24,Indian laburnum- Cassia fistula,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2023,18
2019-07-01,Indian laburnum- Cassia fistula,1.0,1.0,,2.0,2.0,,,0.0,1.0,,2019,23
2023-11-12,Indian laburnum- Cassia fistula,1.0,2.0,2.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2023,40
2023-11-04,Indian laburnum- Cassia fistula,1.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2023,39
2023-11-08,Indian laburnum- Cassia fistula,0.0,2.0,0.0,0.0,0.0,-2.0,-2.0,1.0,0.0,-2.0,2023,40
2023-04-28,Indian laburnum- Cassia fistula,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2023,15
2023-04-12,Indian laburnum- Cassia fistula,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,13
2023-04-05,Indian laburnum- Cassia fistula,0.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2023,12
2022-09-02,Indian laburnum- Cassia fistula,0.0,2.0,0.0,1.0,1.0,-2.0,-2.0,2.0,0.0,-2.0,2022,31
2017-04-28,Indian laburnum- Cassia fistula,1.0,0.0,,1.0,1.0,,,0.0,0.0,,2017,15
2023-04-21,Indian laburnum- Cassia fistula,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,14
2023-03-28,Indian laburnum- Cassia fistula,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,11
2023-03-20,Indian laburnum- Cassia fistula,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,10
2022-02-22,Indian rosewood- Dalbergia sissoo,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2022,6
2020-02-25,Indian rosewood- Dalbergia sissoo,0.0,2.0,2.0,0.0,0.0,-2.0,-2.0,0.0,0.0,2.0,2020,7
2019-11-28,Indian rosewood- Dalbergia sissoo,1.0,2.0,2.0,0.0,0.0,-2.0,-2.0,1.0,1.0,-1.0,2019,42
2020-02-05,Indian rosewood- Dalbergia sissoo,0.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,1.0,2020,4
2019-12-06,Indian rosewood- Dalbergia sissoo,0.0,2.0,,0.0,0.0,,,0.0,0.0,,2019,43
2022-05-17,Indian rosewood- Dalbergia sissoo,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,17
2023-11-12,Jacaranda- Jacaranda mimosifolia,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,2023,40
2023-11-08,Jacaranda- Jacaranda mimosifolia,0.0,2.0,1.0,1.0,1.0,-2.0,-2.0,0.0,2.0,2.0,2023,40
2023-11-08,Jacaranda- Jacaranda mimosifolia,0.0,2.0,1.0,1.0,1.0,-2.0,-2.0,1.0,0.0,0.0,2023,40
